Border,=>,<=
AL-GR,250,250
AL-ME,350,350
AL-MK,500,500
AL-RS,650,500
AT-CH,1200,1200
AT-CZ,900,800
AT-DE,5000,5000
AT-HU,800,800
AT-ITn,405,235
AT-SI,950,950
BA-HR,750,700
BA-ME,500,400
BA-RS,600,600
BE-DE,1000,1000
BE-FR,1800,3300
BE-GB,1000,1000
BE-LUB,380,0
BE-LUG,300,180
BE-NL,2400,1400
BG-GR,600,400
BG-MK,400,100
BG-RO,300,300
BG-RS,500,200
BG-TR,700,300
CH-DE,4600,2700
CH-FR,1300,3150
CH-ITn,4240,1910
CY-GR,0,0
CZ-DE,2100,1500
CZ-PLE,0,800
CZ-PLI,600,0
CZ-SK,1800,1100
DE-DEkf,400,400
DE-DKe,600,585
DE-DKw,1500,1780
DE-FR,2300,1800
DEkf-DKkf,400,400
DE-LUG,1000,1000
DE-LUv,1300,1300
DE-NL,4250,4250
DE-NOs,1400,1400
DE-PLE,0,2500
DE-PLI,500,0
DE-SE4,615,615
DKe-DKkf,400,600
DKe-DKw,600,590
DKe-PL,0,0
DKe-SE4,1700,1300
DKw-GB,0,0
DKw-NL,700,700
DKw-NOs,1640,1640
DKw-SE3,740,680
EE-FI,1016,1000
EE-LV,900,900
ES-FR,2600,2800
ES-FR-GB,0,0
ES-PT,4200,3500
FI-NOn,0,0
FI-SE1,1100,1200
FI-SE2,0,0
FI-SE3,1200,1200
ITcn-ITCO,300,300
FR-GB,2000,2000
FR-IE,0,0
FR-ITn,4350,2160
FR-LUF,380,0
GB-IE,500,500
GB-IS,0,0
GB-NI,450,80
GB-NL,1000,1000
GB-NOs,0,0
GR-ITs,500,500
GR-MK,1100,850
GR-TR,660,580
HR-HU,2000,2000
HR-ITn,0,0
HR-RS,600,600
HR-SI,1500,1500
HU-RO,1000,1100
HU-RS,600,600
HU-SI,1200,1200
HU-SK,2000,2000
IE-NI,300,300
ITcn-ITcs,1400,2600
ITcn-ITn,1550,3750
ES-PT,4200,3500
FI-NOn,0,0
FI-SE1,1100,1200
FI-SE2,0,0
FI-SE3,1200,1200
ITcn-ITCO,300,300
FR-GB,2000,2000
FR-IE,0,0
FR-ITn,4350,2160
FR-LUF,380,0
GB-IE,500,500
GB-IS,0,0
GB-NI,450,80
GB-NL,1000,1000
GB-NOs,0,0
GR-ITs,500,500
GR-MK,1100,850
GR-TR,660,580
HR-HU,2000,2000
HR-ITn,0,0
HR-RS,600,600
HR-SI,1500,1500
HU-RO,1000,1100
HU-RS,600,600
HU-SI,1200,1200
HU-SK,2000,2000
IE-NI,300,300
ITcn-ITcs,1400,2600
ITcn-ITn,1550,3750
ITcn-ITCO,300,300
ITcs-ITs,9999,4500
ITcs-ITsar,700,900
ITcs-ME,600,600
ITn-SI,680,730
ITsic-ITsar,0,0
ITsic-MT,200,200
ITsic-TN,0,0
ITs-ITsic,1100,1200
ITcs-Itsic,0,0
LT-LV,1200,1500
LT-PL,500,500
LT-SE4,700,700
ME-RS,500,600
MK-RS,650,800
NL-NOs,700,700
NOm-NOn,1300,1300
NOm-NOs,1400,1400
NOm-SE2,600,1000
NOn-SE1,700,600
NOn-SE2,250,300
NOs-SE3,2145,2095
PLE-SK,990,0
PLI-SK,0,990
PL-PLE,2500,0
PL-PLI,0,500
PL-SE4,600,600
RO-RS,1000,800
SE1-SE2,3300,3300
ITcs-ITs,9999,4500
ITcs-ITsar,700,900
ITcs-ME,600,600
ITn-SI,680,730
ITsic-ITsar,0,0
ITsic-MT,200,200
ITsic-TN,0,0
ITs-ITsic,1100,1200
ITcs-Itsic,0,0
LT-LV,1200,1500
LT-PL,500,500
LT-SE4,700,700
ME-RS,500,600
MK-RS,650,800
NL-NOs,700,700
NOm-NOn,1300,1300
NOm-NOs,1400,1400
NOm-SE2,600,1000
NOn-SE1,700,600
NOn-SE2,250,300
NOs-SE3,2145,2095
PLE-SK,990,0
PLI-SK,0,990
PL-PLE,2500,0
PL-PLI,0,500
PL-SE4,600,600
RO-RS,1000,800
SE1-SE2,3300,3300
SE2-SE3,7800,7800
SE3-SE4,6500,3200
ITsar-ITCO,350,300
FRc-ITCO,50,150
DE-GB,0,0
SE3-SE4,6500,3200
ITsar-ITCO,350,300
FRc-ITCO,50,150
DE-GB,0,0
